Company,Calculated_NAICS,Target_NAICS,Is_Target_Match,Confidence,Match_Reasoning,Business_Status,Review_Count,Has_Reviews,Latitude,Longitude,Street_Address,City,State,Zip_Code,Operating_Hours,Hard_Attributes,Price_Level,Business_Website,Employees_Estimated,Year_Established,Last_Review_Date
Backstory Coffee Roasters - North Loop,722515,722515,TRUE,High,"Backstory Coffee Roasters - North Loop operates as a coffee shop, opening early in the morning and serving breakfast, which aligns with the characteristics of NAICS 722515. The reviews indicate a cozy atmosphere suitable for morning coffee, further confirming its classification as a coffee shop.",Active,5,Yes,44.9869145,-93.2751767,"528 N Washington Ave, Minneapolis, MN 55401, USA",Minneapolis,MN,55401,Monday: 7:00??AM??€?€?:00??PM; Tuesday: 7:00??AM??€?€?:00??PM; Wednesday: 7:00??AM??€?€?:00??PM; Thursday: 7:00??AM??€?€?:00??PM; Friday: 7:00??AM??€?€?:00??PM; Saturday: 7:00??AM??€?€?:00??PM; Sunday: 7:00??AM??€?€?:00??PM,Breakfast,N/A,https://backstory.coffee/,,,2025/12/20
In The Loop Coffee Co.,722515,722515,TRUE,High,"In The Loop Coffee Co. operates primarily as a coffee shop, opening early in the morning and serving breakfast and lunch, which aligns with the NAICS code 722515 for coffee shops. The reviews indicate a focus on coffee and a friendly atmosphere, further supporting this classification.",Active,5,Yes,44.9897561,-93.2749748,"708 N 1st St UNIT 136, Minneapolis, MN 55401, USA",Minneapolis,MN,55401,Monday: 7:00??AM??€?€?:00??PM; Tuesday: 7:00??AM??€?€?:00??PM; Wednesday: 7:00??AM??€?€?:00??PM; Thursday: 7:00??AM??€?€?:00??PM; Friday: 7:00??AM??€?€?:00??PM; Saturday: 7:00??AM??€?€?:00??PM; Sunday: 8:00??AM??€?€?:00??PM,"Breakfast, Lunch, Dinner",1,http://intheloopcoffee.com/,,,2025/10/9
FRGMNT Coffee - North Loop,722515,722515,TRUE,High,"FRGMNT Coffee - North Loop operates primarily as a coffee shop, opening early in the morning and serving breakfast, which aligns with the NAICS code 722515 for coffee shops. The reviews indicate a focus on coffee and a morning vibe, further supporting this classification.",Active,5,Yes,44.9879538,-93.2779513,"729 N Washington Ave, Minneapolis, MN 55401, USA",Minneapolis,MN,55401,Monday: 6:30??AM??€?€?:00??PM; Tuesday: 6:30??AM??€?€?:00??PM; Wednesday: 6:30??AM??€?€?:00??PM; Thursday: 6:30??AM??€?€?:00??PM; Friday: 6:30??AM??€?€?:00??PM; Saturday: 7:00??AM??€?€?:00??PM; Sunday: 7:00??AM??€?€?:00??PM,Breakfast,N/A,http://www.frgmntcoffee.com/,,,2025/12/18
Fairgrounds Craft Coffee and Tea,722515,722515,TRUE,High,"Fairgrounds Craft Coffee and Tea operates early hours (6:30 AM) and serves breakfast and lunch, aligning with the characteristics of a coffee shop. The reviews emphasize a morning vibe and breakfast offerings, confirming its classification as a coffee shop.",Active,5,Yes,44.98583259999999,-93.2710578,"116 N 3rd Ave, Minneapolis, MN 55401, USA",Minneapolis,MN,55401,Monday: 6:30??AM??€?€?:30??PM; Tuesday: 6:30??AM??€?€?:30??PM; Wednesday: 6:30??AM??€?€?:30??PM; Thursday: 6:30??AM??€?€?:30??PM; Friday: 6:30??AM??€?€?:30??PM; Saturday: 6:30??AM??€?€?:30??PM; Sunday: 6:30??AM??€?€?:30??PM,"Breakfast, Lunch",2,https://www.fairgrounds.cafe/,,,2026/1/12
Fawkes Alley Coffee,722515,722515,TRUE,High,"Fawkes Alley Coffee operates from 8 AM to 4 PM, serves breakfast, and has a coffee shop vibe as indicated by the reviews. This aligns with the characteristics of a coffee shop, thus the NAICS code 722515 is appropriate.",Active,5,Yes,44.9719732,-93.2857905,"1621 Harmon Pl, Minneapolis, MN 55403, USA",Minneapolis,MN,55401,Monday: 8:00??AM??€?€?:00??PM; Tuesday: 8:00??AM??€?€?:00??PM; Wednesday: 8:00??AM??€?€?:00??PM; Thursday: 8:00??AM??€?€?:00??PM; Friday: 8:00??AM??€?€?:00??PM; Saturday: 8:00??AM??€?€?:00??PM; Sunday: 8:00??AM??€?€?:00??PM,Breakfast,N/A,https://www.fawkesalleycoffee.com/,,,2025/11/25
Spyhouse Coffee Roasters | North Loop,722515,722515,TRUE,High,"Spyhouse Coffee Roasters | North Loop operates primarily as a coffee shop, opening early in the morning and serving breakfast items. The reviews emphasize their focus on coffee and a welcoming atmosphere, aligning with the characteristics of a coffee shop rather than a bar.",Active,5,Yes,44.9897646,-93.2802563,"907 N Washington Ave, Minneapolis, MN 55401, USA",Minneapolis,MN,55401,Monday: 7:00??AM??€?€?:00??PM; Tuesday: 7:00??AM??€?€?:00??PM; Wednesday: 7:00??AM??€?€?:00??PM; Thursday: 7:00??AM??€?€?:00??PM; Friday: 7:00??AM??€?€?:00??PM; Saturday: 7:00??AM??€?€?:00??PM; Sunday: 7:00??AM??€?€?:00??PM,"Breakfast, Beer, Wine",2,https://www.spyhousecoffee.com/,,,2025/11/29
Corner Coffee,722515,722515,TRUE,High,"Corner Coffee operates primarily as a coffee shop, opening early in the morning and serving breakfast and lunch, which aligns with the NAICS code 722515 for coffee shops. The reviews emphasize the coffee offerings and a positive morning vibe, further supporting this classification.",Active,5,Yes,44.9857522,-93.2762704,"514 N 3rd St #102, Minneapolis, MN 55401, USA",Minneapolis,MN,55401,Monday: 7:00??AM??€?€?:00??PM; Tuesday: 7:00??AM??€?€?:00??PM; Wednesday: 7:00??AM??€?€?:00??PM; Thursday: 7:00??AM??€?€?:00??PM; Friday: 7:00??AM??€?€?:00??PM; Saturday: 8:00??AM??€?€?:00??PM; Sunday: Closed,"Breakfast, Lunch",1,https://www.corner.coffee/,,,2025/12/15
Mocha Momma's Coffee,722515,722515,TRUE,High,"Mocha Momma's Coffee operates during morning hours, serves breakfast and lunch, and focuses on coffee, aligning with the characteristics of a coffee shop (NAICS 722515). The positive reviews emphasize the coffee offerings and a welcoming atmosphere, further supporting this classification.",Active,5,Yes,44.9801957,-93.2699453,"300 Nicollet Mall, Minneapolis, MN 55401, USA",Minneapolis,MN,55401,Monday: 8:00??AM??€?€?:00??PM; Tuesday: 8:00??AM??€?€?:00??PM; Wednesday: 8:00??AM??€?€?:00??PM; Thursday: 8:00??AM??€?€?:00??PM; Friday: 8:00??AM??€?€?:00??PM; Saturday: 8:00??AM??€?€?:00??PM; Sunday: Closed,"Breakfast, Lunch",N/A,,,,2025/12/22
Spyhouse Coffee Roasters | Downtown / Emery,722515,722515,TRUE,High,"Spyhouse Coffee Roasters operates early hours (6:30 AM) and serves breakfast and lunch, aligning with the characteristics of a coffee shop. Reviews emphasize the coffee offerings and the morning vibe, confirming its classification under NAICS 722515.",Active,5,Yes,44.9782902,-93.2672042,"215 S 4th St, Minneapolis, MN 55401, USA",Minneapolis,MN,55401,Monday: 6:30??AM??€?€?:00??PM; Tuesday: 6:30??AM??€?€?:00??PM; Wednesday: 6:30??AM??€?€?:00??PM; Thursday: 6:30??AM??€?€?:00??PM; Friday: 6:30??AM??€?€?:00??PM; Saturday: 6:30??AM??€?€?:00??PM; Sunday: 6:30??AM??€?€?:00??PM,"Breakfast, Lunch",N/A,https://www.spyhousecoffee.com/,,,2026/1/7
FRGMNT Coffee - Mill District,722515,722515,TRUE,High,"FRGMNT Coffee - Mill District opens early (6:30 AM), serves breakfast and lunch, and has a strong coffee focus, aligning with the characteristics of a coffee shop. The reviews emphasize the quality of coffee and the morning vibe, confirming its classification as a coffee shop.",Active,5,Yes,44.9755212,-93.254188,"1011 Washington Ave S, Minneapolis, MN 55415, USA",Minneapolis,MN,55401,Monday: 6:30??AM??€?€?:00??PM; Tuesday: 6:30??AM??€?€?:00??PM; Wednesday: 6:30??AM??€?€?:00??PM; Thursday: 6:30??AM??€?€?:00??PM; Friday: 6:30??AM??€?€?:00??PM; Saturday: 7:00??AM??€?€?:00??PM; Sunday: 7:00??AM??€?€?:00??PM,"Breakfast, Lunch, Beer, Wine",N/A,https://frgmntcoffee.com/pages/openbook,,,2026/1/5
