Company,Google_Status,Last_Review,Status_AI,NAICS_Predicted,Reasoning
Minneapolis Central Library,OPERATIONAL,2025-12-05,Active,519120,"The Minneapolis Central Library is operational and has recent reviews. The presence of books, public access, and library cards indicates it is a public library."
Hosmer Library - Hennepin County Library,OPERATIONAL,2025-12-22,Active,519120,"The Google Status is 'OPERATIONAL', indicating the library is active. The review mentions 'printing', 'meeting room', and 'study', which are consistent with public library services."
Walker Library - Hennepin County Library,OPERATIONAL,2026-01-13,Active,519120,"The Google Status is 'OPERATIONAL', indicating the library is active. The review mentions books and printing services, which are typical of a public library."
Washburn Library,OPERATIONAL,2026-01-17,Active,519120,"Washburn Library is operational and has recent reviews. The review text mentions books, media, and local services, indicating it is a public library."
North Regional Library - Hennepin County Library,OPERATIONAL,2025-11-04,Active,519120,"The Google Status is 'OPERATIONAL', indicating the library is active. The review mentions borrowing, study rooms, and public access, confirming it is a public library."
Northeast Library - Hennepin County Library,OPERATIONAL,2025-03-02,Active,519120,"The Northeast Library - Hennepin County Library is operational and has recent reviews. The review text mentions librarians, checking out material, and using computers, which are indicative of a public library."
Linden Hills Library - Hennepin County Library,OPERATIONAL,2025-06-28,Active,519120,"The Google Status is 'OPERATIONAL', indicating the library is active. The reviews mention keywords such as 'library', 'study rooms', and 'studying space', which are consistent with the characteristics of a public library."
Franklin Library - Hennepin County Library,OPERATIONAL,2025-12-28,Active,519120,"The Franklin Library - Hennepin County Library is operational according to Google Status, indicating it is active. The review mentions community outreach, children's literature, and accessibility, which align with public library services such as borrowing and public access."
Arvonne Fraser Library,OPERATIONAL,2025-12-14,Active,519120,"The Arvonne Fraser Library is operational and has recent reviews. The reviews mention it as a library with a good book selection, study areas, and a children's room, indicating it functions as a public library."
Hennepin County Library - Webber Park,OPERATIONAL,2025-12-02,Active,519120,"The Google Status is 'OPERATIONAL', indicating the library is active. The review mentions public access features such as computers and quiet rooms, which are typical of a public library."
East Lake Library - Hennepin County Library,OPERATIONAL,2025-11-20,Active,519120,"The East Lake Library - Hennepin County Library is operational according to Google Status, and the last review is recent (2025-11-20). The review mentions typical library features such as computers for Internet access, which aligns with public library services."
Oxboro Library - Hennepin County Library,OPERATIONAL,2025-12-25,Active,519120,"The Oxboro Library - Hennepin County Library is operational according to Google Status, indicating it is active. The review mentions keywords such as 'librarian', 'books', 'computers', and 'public access', confirming it is a public library."
Ridgedale Library - Hennepin County Library,OPERATIONAL,2025-09-23,Active,519120,"The Ridgedale Library - Hennepin County Library is operational according to Google Status, indicating it is active. The review mentions studying, a curated selection of books, and facilities for public use, which align with the characteristics of a public library."
Augsburg Park Library,OPERATIONAL,2025-12-30,Active,519120,"The Google Status is 'OPERATIONAL', indicating the library is active. The review mentions 'studying', 'computers', 'read books', and 'learn', which are consistent with the services of a public library."
Saint Paul Public Library - Saint Anthony Park,OPERATIONAL,2025-12-31,Active,519120,"The Google Status is 'OPERATIONAL', indicating the library is active. The reviews mention a 'fine assortment', 'friendly and helpful staff', 'reading spaces', and a 'great selection of books', which are consistent with the services of a public library."
Southdale Library,CLOSED_TEMPORARILY,2025-05-05,Active,519120,"The Southdale Library is a public library as indicated by keywords such as 'books', 'library', and 'community resources'. The Google Status is 'CLOSED_TEMPORARILY', and the last review is recent (2025-05-05), indicating the library is still active."
